PaymentID,LoanID,PaymentDate,AmountPaid,Status
PAY50000,LN10644,2023-09-14,132960,Partial
PAY50001,LN10105,2023-01-11,128574,Paid
PAY50002,LN10731,2025-08-06,189207,Paid
PAY50003,LN10884,2023-01-08,30424,Paid
PAY50004,LN10964,2025-07-24,42559,Paid
PAY50005,LN10688,2023-02-01,12075,Paid
PAY50006,LN10281,2024-06-23,154771,Missed
PAY50007,LN10132,2025-10-01,180044,Paid
PAY50008,LN10533,2024-01-22,10950,Paid
PAY50009,LN10974,2024-10-01,137485,Paid
PAY50010,LN10268,2023-07-26,40305,Paid
PAY50011,LN10411,2024-07-10,4569,Paid
PAY50012,LN10672,2023-12-14,67778,Paid
PAY50013,LN10618,2025-03-03,103633,Paid
PAY50014,LN10790,2023-08-22,31085,Paid
PAY50015,LN10864,2025-12-03,97307,Paid
PAY50016,LN10746,2025-10-02,93174,Paid
PAY50017,LN10017,2025-01-06,37163,Paid
PAY50018,LN10753,2025-07-30,50592,Paid
PAY50019,LN10116,2023-06-25,189405,Missed
PAY50020,LN10797,2024-03-24,118431,Paid
PAY50021,LN10793,2024-08-14,9039,Paid
PAY50022,LN10143,2023-03-23,140270,Paid
PAY50023,LN10716,2023-05-15,166426,Paid
PAY50024,LN10550,2025-05-05,4824,Paid
PAY50025,LN10928,2024-03-15,51420,Paid
PAY50026,LN10665,2025-12-15,90535,Paid
PAY50027,LN10687,2024-11-27,4436,Paid
PAY50028,LN10960,2024-02-23,94550,Paid
PAY50029,LN10752,2023-03-29,172929,Paid
PAY50030,LN10421,2024-10-17,17057,Paid
PAY50031,LN10897,2025-10-28,2310,Partial
PAY50032,LN10368,2023-08-03,127913,Paid
PAY50033,LN10645,2024-07-05,67013,Partial
PAY50034,LN10557,2024-05-17,61022,Paid
PAY50035,LN10049,2024-11-29,140978,Paid
PAY50036,LN10677,2023-09-02,141940,Paid
PAY50037,LN10105,2023-11-05,19546,Paid
PAY50038,LN10215,2023-08-19,99812,Paid
PAY50039,LN10657,2023-06-04,73855,Paid
PAY50040,LN10922,2025-04-27,34149,Paid
PAY50041,LN10424,2023-04-25,114591,Paid
PAY50042,LN10071,2023-11-07,199453,Paid
PAY50043,LN10987,2025-09-19,155756,Paid
PAY50044,LN10841,2023-10-27,30858,Missed
PAY50045,LN10784,2025-11-07,46330,Paid
PAY50046,LN10758,2025-02-22,191276,Paid
PAY50047,LN10445,2023-01-12,93203,Paid
PAY50048,LN10924,2023-08-20,26293,Paid
PAY50049,LN10185,2025-08-12,57869,Paid
PAY50050,LN10069,2024-12-30,91429,Paid
PAY50051,LN10973,2025-10-14,136701,Paid
PAY50052,LN10149,2025-09-25,6704,Paid
PAY50053,LN10245,2023-10-30,133848,Paid
PAY50054,LN10773,2024-06-24,189327,Paid
PAY50055,LN10537,2024-04-14,49281,Missed
PAY50056,LN10934,2025-03-23,117972,Paid
PAY50057,LN10651,2023-03-18,114532,Paid
PAY50058,LN10098,2025-10-16,163308,Paid
PAY50059,LN10909,2023-01-24,67780,Missed
PAY50060,LN10277,2025-11-04,133405,Paid
PAY50061,LN10562,2024-11-06,183018,Paid
PAY50062,LN10662,2024-06-08,56333,Partial
PAY50063,LN10943,2023-12-13,159349,Paid
PAY50064,LN10454,2023-06-21,182678,Paid
PAY50065,LN10103,2024-12-12,134005,Paid
PAY50066,LN10945,2024-05-03,165586,Paid
PAY50067,LN10600,2024-01-13,90893,Missed
PAY50068,LN10652,2024-01-07,63958,Paid
PAY50069,LN10724,2025-09-26,138899,Paid
PAY50070,LN10232,2025-09-03,31844,Paid
PAY50071,LN10393,2025-01-26,115501,Paid
PAY50072,LN10500,2024-04-21,92200,Paid
PAY50073,LN10694,2024-01-17,1792,Paid
PAY50074,LN10250,2023-06-04,171767,Partial
PAY50075,LN10520,2023-09-14,84187,Paid
PAY50076,LN10078,2024-11-04,43510,Paid
PAY50077,LN10051,2023-03-09,171209,Paid
PAY50078,LN10897,2023-12-10,114104,Paid
PAY50079,LN10920,2024-11-03,40632,Paid
PAY50080,LN10780,2024-01-26,168862,Paid
PAY50081,LN10225,2023-09-16,84568,Paid
PAY50082,LN10050,2023-11-03,162957,Paid
PAY50083,LN10185,2025-08-07,66214,Paid
PAY50084,LN10033,2025-08-27,45870,Missed
PAY50085,LN10802,2023-09-03,49110,Paid
PAY50086,LN10741,2025-01-02,110414,Paid
PAY50087,LN10130,2023-07-06,137243,Paid
PAY50088,LN10631,2025-07-13,141661,Paid
PAY50089,LN10442,2025-02-23,19077,Paid
PAY50090,LN10837,2024-02-12,65874,Paid
PAY50091,LN10758,2023-12-07,170299,Partial
PAY50092,LN10431,2024-07-16,147009,Paid
PAY50093,LN10703,2024-10-12,10754,Paid
PAY50094,LN10496,2025-08-09,26688,Paid
PAY50095,LN10402,2025-11-28,8048,Paid
PAY50096,LN10322,2023-03-10,23568,Paid
PAY50097,LN10209,2024-01-16,98583,Paid
PAY50098,LN10614,2023-02-26,149617,Partial
PAY50099,LN10328,2025-04-29,95449,Partial
PAY50100,LN10371,2025-07-04,46217,Paid
PAY50101,LN10459,2023-11-21,180194,Paid
PAY50102,LN10132,2024-04-05,165818,Paid
PAY50103,LN10834,2023-06-28,140781,Missed
PAY50104,LN10650,2025-04-23,128873,Paid
PAY50105,LN10120,2024-07-27,26358,Paid
PAY50106,LN10605,2023-04-29,115064,Paid
PAY50107,LN10451,2024-07-02,12023,Paid
PAY50108,LN10964,2024-10-07,96387,Paid
PAY50109,LN10128,2023-01-26,160828,Partial
PAY50110,LN10090,2025-10-28,195247,Partial
PAY50111,LN10603,2025-08-26,186353,Paid
PAY50112,LN10574,2024-06-16,181361,Paid
PAY50113,LN10028,2023-05-29,190169,Partial
PAY50114,LN10721,2025-11-14,87728,Paid
PAY50115,LN10523,2024-10-16,179331,Paid
PAY50116,LN10332,2025-08-02,150911,Paid
PAY50117,LN10296,2024-07-08,28410,Missed
PAY50118,LN10129,2024-02-29,106696,Paid
PAY50119,LN10292,2023-10-20,12447,Paid
PAY50120,LN10172,2024-07-07,118954,Partial
PAY50121,LN10719,2024-03-06,87569,Paid
PAY50122,LN10943,2024-08-26,96894,Missed
PAY50123,LN10023,2023-11-13,14907,Paid
PAY50124,LN10098,2024-02-02,22637,Paid
PAY50125,LN10405,2024-08-18,170268,Paid
PAY50126,LN10355,2024-06-29,154441,Paid
PAY50127,LN10138,2023-03-17,134661,Paid
PAY50128,LN10502,2025-05-14,24560,Missed
PAY50129,LN10825,2025-07-04,4034,Paid
PAY50130,LN10173,2024-12-09,132241,Missed
PAY50131,LN10028,2024-04-30,93449,Paid
PAY50132,LN10930,2025-01-16,4239,Paid
PAY50133,LN10495,2025-10-27,4415,Paid
PAY50134,LN10654,2024-07-03,77944,Paid
PAY50135,LN10827,2025-09-02,135556,Paid
PAY50136,LN10350,2025-12-11,54987,Missed
PAY50137,LN10553,2025-07-30,19225,Paid
PAY50138,LN10298,2025-07-07,81459,Paid
PAY50139,LN10719,2023-12-29,193176,Paid
PAY50140,LN10841,2024-01-17,21936,Paid
PAY50141,LN10944,2023-09-28,40612,Paid
PAY50142,LN10191,2025-11-03,96533,Paid
PAY50143,LN10671,2023-10-25,121877,Paid
PAY50144,LN10063,2025-09-30,103269,Paid
PAY50145,LN10754,2023-08-22,40952,Paid
PAY50146,LN10769,2024-07-28,59945,Paid
PAY50147,LN10663,2023-01-27,6380,Paid
PAY50148,LN10214,2023-04-03,182370,Partial
PAY50149,LN10833,2024-09-08,81821,Paid
PAY50150,LN10165,2023-11-05,159332,Paid
PAY50151,LN10542,2023-02-21,164951,Paid
PAY50152,LN10882,2023-11-15,148215,Partial
PAY50153,LN10231,2023-06-30,50744,Paid
PAY50154,LN10793,2025-05-24,163650,Paid
PAY50155,LN10540,2025-12-02,81262,Paid
PAY50156,LN10194,2024-10-08,58331,Paid
PAY50157,LN10505,2023-07-16,93551,Paid
PAY50158,LN10333,2024-10-06,64815,Paid
PAY50159,LN10767,2025-08-28,72519,Paid
PAY50160,LN10792,2023-09-12,151250,Paid
PAY50161,LN10303,2025-01-01,93526,Paid
PAY50162,LN10832,2023-12-02,192269,Paid
PAY50163,LN10436,2025-09-16,110365,Paid
PAY50164,LN10322,2025-06-18,37366,Partial
PAY50165,LN10501,2024-05-28,185027,Paid
PAY50166,LN10857,2023-08-30,100830,Missed
PAY50167,LN10913,2023-05-29,42911,Paid
PAY50168,LN10392,2025-01-26,84422,Partial
PAY50169,LN10805,2024-09-11,54619,Paid
PAY50170,LN10598,2024-03-28,176368,Paid
PAY50171,LN10148,2023-07-31,23791,Paid
PAY50172,LN10760,2024-10-29,9301,Paid
PAY50173,LN10832,2024-08-16,127866,Paid
PAY50174,LN10404,2023-05-11,104623,Paid
PAY50175,LN10282,2024-09-03,113824,Paid
PAY50176,LN10361,2023-09-13,167851,Paid
PAY50177,LN10378,2024-07-14,37894,Paid
PAY50178,LN10197,2023-03-04,80618,Paid
PAY50179,LN10555,2024-02-11,181322,Paid
PAY50180,LN10355,2025-03-12,71994,Paid
PAY50181,LN10539,2023-01-15,42770,Missed
PAY50182,LN10428,2023-09-16,23300,Paid
PAY50183,LN10016,2024-12-23,119025,Paid
PAY50184,LN10638,2024-09-05,161557,Missed
PAY50185,LN10378,2025-12-04,121605,Paid
PAY50186,LN10679,2025-03-23,41285,Paid
PAY50187,LN10505,2023-11-27,198627,Missed
PAY50188,LN10755,2023-06-14,118713,Paid
PAY50189,LN10898,2025-12-24,164543,Paid
PAY50190,LN10075,2024-01-22,49671,Partial
PAY50191,LN10230,2025-11-19,119216,Partial
PAY50192,LN10715,2023-11-24,21270,Paid
PAY50193,LN10961,2023-11-16,120870,Paid
PAY50194,LN10247,2024-02-03,128897,Paid
PAY50195,LN10301,2023-04-15,145770,Paid
